zip,crimes,income
90001,2215,24207
90002,734,22872
90003,84,22346
90004,28,27591
90005,51,21998
90006,15,20593
90007,154,17644
90008,55,30472
90010,12,32083
90011,46,23851
90012,7177,20152
90013,32,8855
90014,9,8633
90015,266,18533
90016,41,29079
90017,100,14847
90018,39,23797
90019,10,31501
90020,16,24208
90021,64,13053
90023,1024,26884
90024,4,47573
90025,19,47806
90026,9,28651
90027,35,31820
90028,23,21893
90029,132,22043
90031,8,25300
90032,34,33445
90033,586,22429
90034,7,37231
90035,3,50014
90036,6,47746
90037,38,20275
90038,56,23306
90039,3,45615
90041,5,48439
90042,14,36064
90043,416,34069
90044,2104,22091
90045,170,56566
90046,1079,37398
90047,548,35142
90048,205,47185
90049,3,84342
90056,355,72193
90057,85,19736
90058,18,18729
90059,1081,22151
90061,424,26449
90062,18,26901
90063,1646,30174
90064,30,59923
90065,20,38271
90066,13,45089
90067,29,74830
90068,16,52890
90069,2162,51215
90210,17,112572
90247,92,35101
90248,190,43125
90291,7,45769
90292,818,72215
90293,1,66425
90501,98,42117
90710,175,42299
90731,112,35910
90732,46,63614
90744,82,30259
91040,9,51894
91042,11,42882
91303,9,36769
91304,14,48052
91306,3,49064
91307,9,74072
91311,64,62270
91316,9,49131
91324,10,49961
91325,8,48855
91326,2,82310
91331,20,39225
91335,20,40792
91340,77,40398
91342,296,48744
91343,15,41786
91344,10,64947
91345,1,52603
91352,30,41322
91356,2,51420
91364,11,79414
91367,8,61356
91401,253,35403
91402,28,32496
91403,1,53596
91405,20,29657
91406,12,37178
91411,29,34266
91423,5,52662
91436,3,102652
91601,63,31671
91602,4,47989
91604,8,60299
91605,23,32168
91606,7,31806
91607,6,40565
